Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/v1/auth/register,201,276,215,224,227,249,206,12122,0.000%,.83757,0.73,0.47
/v1/auth/login,201,215,214,224,227,241,205,292,0.000%,.88130,0.76,0.47
/v1/events,200,141,139,146,150,221,132,327,0.000%,.87952,0.76,0.58
/v1/events/apply,200,215,213,220,225,245,203,372,0.000%,.87889,0.76,0.47
/v1/events/(eventId)/applicants,200,213,212,220,223,233,202,254,0.000%,.87889,0.76,0.45
/v1/events/(eventId)/applicants/(userId)/accept,200,136,135,142,145,149,132,159,0.000%,.87915,0.76,0.48
TOTAL,1202,199,211,220,224,241,132,12122,0.000%,4.98927,4.31,2.78
