Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/v1/auth/register,201,276,206,12122,837.95,0.000%,.83757,0.73,0.47,887.0
/v1/auth/login,201,215,205,292,8.56,0.000%,.88130,0.76,0.47,884.0
/v1/events,200,141,132,327,19.20,0.000%,.87952,0.76,0.58,880.0
/v1/events/apply,200,215,203,372,16.42,0.000%,.87889,0.76,0.47,886.0
/v1/events/(eventId)/applicants,200,213,202,254,5.93,0.000%,.87889,0.76,0.45,882.0
/v1/events/(eventId)/applicants/(userId)/accept,200,136,132,159,4.08,0.000%,.87915,0.76,0.48,889.0
TOTAL,1202,199,132,12122,346.22,0.000%,4.98927,4.31,2.78,884.7
